Nagoya - Nakagawa (Earthquake Shelters),Shelter Name - English,Shelter Name - Japanese,Latitude,Longitude,Shelter Address
38,Manbagawa Higashi Park,??????,35.52157,136.8258828,"4 Chome Manba, Nakagawa Ward, Nagoya, Aichi 454-0997"
39,Haruta Elementary School ,"
?????",35.1521969,136.8105619,"2 Chome-243 Higashiharuta, Nakagawa Ward, Nagoya, Aichi 454-0983"
40,Toyoharu Elementary School,?????,35.1321714,136.8123483,"1 Chome-2501 Kanosato, Nakagawa Ward, Nagoya, Aichi 454-0957"
41,Kumaiden Junior High School,??????,35.1363374,136.8110823,"2 Chome-2 Chome-802 Kumaiden, Nakagawa Ward, Nagoya, Aichi 454-0984"
43,Toda Elementary School,?????,35.2362778,133.6879999,"2 Chome-2-2114 Toda, Nakagawa Ward, Nagoya, Aichi 454-0962"
44,Hiromi Elementary School,?????,35.1564975,136.8826628,"4-41 Hirosumicho, Nakagawa Ward, Nagoya, Aichi 454-0007"
45,Manba Elementary School,?????,35.1538438,136.8236678,"???-???? Manba, Nakagawa Ward, Nagoya, Aichi 454-0997"
46,Senonji Elementary School,??????,35.1538654,136.8171017,"Sannotsubo-4666 Tomidacho Oaza Sennonji, Nakagawa Ward, Nagoya, Aichi 454-0971"
47,Isshiki Junior High School,?????,35.12869,136.831202,"1-701 Ishikishinmachi, Nakagawa-ku, Nagoya-shi, Aichi"
48,Tomita Junior High School,?????,35.1413262,136.8131499,"3 Chome Haruta, Nakagawa Ward, Nagoya, Aichi 454-0985"
